rank,name,country_name,country_id,value
1,Roger Federer,Switzerland,SUI,88.49%
2,Andy Murray,United Kingdom,GBR,86.92%
3,Novak Djokovic,Serbia,SRB,85.58%
4,Rafael Nadal,Spain,ESP,80.00%
5,Andy Roddick,United States,USA,76.00%
6,Marin Cilic,Croatia,CRO,70.83%
7,Juan Martin Del Potro,Argentina,ARG,70.18%
8,Milos Raonic,Canada,CAN,70.00%
9,Tomas Berdych,Czech Republic,CZE,69.51%
10,Jo Wilfried Tsonga,France,FRA,68.92%
11,Lleyton Hewitt,Australia,AUS,68.00%
12,John Isner,United States,USA,67.12%
13,Feliciano Lopez,Spain,ESP,67.01%
14,Richard Gasquet,France,FRA,66.25%
15,David Ferrer,Spain,ESP,66.10%
16,Ivo Karlovic,Croatia,CRO,64.44%
17,Sam Querrey,United States,USA,64.42%
18,Nicolas Mahut,France,FRA,63.16%
19,Kei Nishikori,Japan,JPN,62.50%
20,Philipp Kohlschreiber,Germany,GER,60.98%
21,Gael Monfils,France,FRA,60.34%
22,Gilles Muller,Luxembourg,LUX,60.00%
23,Kevin Anderson,South Africa,RSA,59.09%
24,Adrian Mannarino,France,FRA,59.04%
25,Gilles Simon,France,FRA,58.33%
26,Grigor Dimitrov,Bulgaria,BUL,57.38%
27,Marcos Baghdatis,Cyprus,CYP,57.32%
28,Andreas Seppi,Italy,ITA,56.84%
29,Mikhail Youzhny,Russian Federation,RUS,56.72%
30,Benjamin Becker,Germany,GER,55.56%
31,Steve Johnson,United States,USA,55.36%
32,Janko Tipsarevic,Serbia,SRB,55.00%
33,Denis Istomin,Uzbekistan,UZB,54.67%
34,Bernard Tomic,Australia,AUS,54.29%
35,Fernando Verdasco,Spain,ESP,54.05%
36,Stan Wawrinka,Switzerland,SUI,52.73%
37,Viktor Troicki,Serbia,SRB,51.61%
38,Julien Benneteau,France,FRA,50.00%
38,Mischa Zverev,Germany,GER,50.00%
40,Jeremy Chardy,France,FRA,48.28%
41,Dudi Sela,Israel,ISR,48.15%
41,Sergiy Stakhovsky,Ukraine,UKR,48.15%
43,Guillermo Garcia Lopez,Spain,ESP,48.08%
44,Yen Hsun Lu,"Taiwan, Province of China",TPE,44.00%
45,Robin Haase,Netherlands,NED,40.74%